Table 1 - Soil Comparison Table
Former Arnold Tool
17676 Mt. Elliott
Detroit, MI 48234
ERG Project # 1747.001
APRA Environmental Resources Groun
, pe ttabppre bapetegy theeegeepters
||None||Residential|None|None|None|None|None|None|None|Sample Location|17676 Mt. Elliott|17676 Mt. Elliott|17676 Mt. Elliott|
|Naphthalene|91‐20‐3|NA|35,000|730|2.5E+5|3.0E+5|3.0E+5|3.0E+5|2.0E+8|1.6E+7||ND|ND|ND|
|Pentane|109‐66‐0|NA|ID|NA|9.7E+5 (C)|3.7E+7|3.1E+8|5.8E+8|1.2E+12|ID||ND|ND|ND|
|n‐Propylbenzene (I)|103‐65‐1|NA|1,600|ID|ID|ID|ID|ID|1.3E+9|2.5E+6||ND|ND|ND|
|Styrene|100‐42‐5|NA|2,700|2,100 (X)|2.5E+5|9.7E+5|9.7E+5|1.4E+6|5.5E+9|4.0E+5||ND|ND|ND|
|1,1,1,2‐Tetrachloroethane|630‐20‐6|NA|1,500|ID|6,200|36,000|54,000|1.0E+5|4.2E+8|4.8E+5 (C)||ND|ND|ND|
|1,1,2,2‐Tetrachloroethane|79‐34‐5|NA|170|1,600 (X)|4,300|10,000|10,000|14,000|5.4E+7|53,000||ND|ND|ND|
|Tetrachloroethylene|127‐18‐4|NA|100|1,200 (X)|11,000|1.7E+5|4.8E+5|1.1E+6|2.7E+9|2.0E+5 (C)||ND|ND|ND|
|Tetrahydrofuran|109‐99‐9|NA|1,900|2.2E+5 (X)|1.3E+6|1.3E+7|6.7E+7|1.6E+8|3.9E+11|2.9E+6||ND|ND|ND|
|Toluene (I)|108‐88‐3|NA|16,000|5,400|3.3E+5 (C)|2.8E+6|5.1E+6|1.2E+7|2.7E+10|5.0E+7 (C)||ND|ND|ND|
|1,1,2‐Trichloro‐1,2,2‐trifluoroethane|76‐13‐1|NA|9.0E+6 (C)|1,700|5.1E+6 (C)|1.8E+8|8.8E+8|2.1E+9|5.1E+12|1.0E+9 (C,D)||ND|ND|ND|
|1,2,4‐Trichlorobenzene|120‐82‐1|NA|4,200|5,900 (X)|9.6E+6 (C)|2.8E+7|2.8E+7|2.8E+7|2.5E+10|9.9E+5 (DD)||ND|ND|ND|
|1,1,1‐Trichloroethane|71‐55‐6|NA|4,000|1,800|2.5E+5|3.8E+6|1.2E+7|2.8E+7|6.7E+10|5.0E+8 (C)||ND|ND|ND|
|1,1,2‐Trichloroethane|79‐00‐5|NA|100|6,600 (X)|4,600|17,000|21,000|44,000|1.9E+8|1.8E+5||ND|ND|ND|
|Trichloroethylene|79‐01‐6|NA|100|4,000 (X)|1,000|11,000|25,000|57,000|1.3E+8|1.1E+5 (DD)||ND|ND|ND|
|Trichlorofluoromethane|75‐69‐4|NA|52,000|NA|2.8E+6 (C)|9.2E+7|6.3E+8|1.5E+9|3.8E+12|7.9E+7 (C)||ND|ND|ND|
|1,2,3‐Trichloropropane|96‐18‐4|NA|840|NA|4,000|9,200|9,200|11,000|2.0E+7|1.3E+6 (C)||ND|ND|ND|
|1,2,4‐Trimethylbenzene (I)|95‐63‐6|NA|2,100|570|4.3E+6 (C)|2.1E+7|5.0E+8|5.0E+8|8.2E+10|3.2E+7 (C)||ND|ND|ND|
|1,3,5‐Trimethylbenzene (I)|108‐67‐8|NA|1,800|1,100|2.6E+6 (C)|1.6E+7|3.8E+8|3.8E+8|8.2E+10|3.2E+7 (C)||ND|ND|ND|
|Vinyl chloride|75‐01‐4|NA|40|260 (X)|270|4,200|30,000|73,000|3.5E+8|3,800||ND|ND|ND|
|Xylenes (I)|1330‐20‐7|NA|5,600|820|6.3E+6 (C)|4.6E+7|6.1E+7|1.3E+8|2.9E+11|4.1E+8 (C)||ND|ND|ND|
||||||||||||||||
|Semivolatiles|||||||||||||||
|Acenaphthene|83‐32‐9|NA|3.0E+5|8,700|1.9E+8|8.1E+7|8.1E+7|8.1E+7|1.4E+10|4.1E+7||ND|ND|ND|
|Acenaphthylene|208‐96‐8|NA|5,900|ID|1.6E+6|2.2E+6|2.2E+6|2.2E+6|2.3E+9|1.6E+6||ND|ND|ND|
|Anthracene|120‐12‐7|NA|41,000|ID|1.0E+9 (D)|1.4E+9|1.4E+9|1.4E+9|6.7E+10|2.3E+8||ND|ND|ND|
|Benzo(a)anthracene (Q)|56‐55‐3|NA|NLL|NLL|NLV|NLV|NLV|NLV|ID|20,000||ND|ND|ND|
|Benzo(a)pyrene (Q)|50‐32‐8|NA|NLL|NLL|NLV|NLV|NLV|NLV|1.5E+6|2,000||ND|ND|ND|
|Benzo(b)fluoranthene (Q)|205‐99‐2|NA|NLL|NLL|ID|ID|ID|ID|ID|20,000||ND|ND|ND|
|Benzo(g,h,i)perylene|191‐24‐2|NA|NLL|NLL|NLV|NLV|NLV|NLV|8.0E+8|2.5E+6||ND|ND|ND|
|Benzo(k)fluoranthene (Q)|207‐08‐9|NA|NLL|NLL|NLV|NLV|NLV|NLV|ID|2.0E+5||ND|ND|ND|
|Chrysene (Q)|218‐01‐9|NA|NLL|NLL|ID|ID|ID|ID|ID|2.0E+6||ND|ND|ND|
|Dibenzo(a,h)anthracene (Q)|53‐70‐3|NA|NLL|NLL|NLV|NLV|NLV|NLV|ID|2,000||ND|ND|ND|
|Fluoranthene|206‐44‐0|NA|7.3E+5|5,500|1.0E+9 (D)|7.4E+8|7.4E+8|7.4E+8|9.3E+9|4.6E+7||ND|ND|ND|
|Fluorene|86‐73‐7|NA|3.9E+5|5,300|5.8E+8|1.3E+8|1.3E+8|1.3E+8|9.3E+9|2.7E+7||ND|ND|ND|
|Indeno(1,2,3‐cd)pyrene (Q)|193‐39‐5|NA|NLL|NLL|NLV|NLV|NLV|NLV|ID|20,000||ND|ND|ND|
|Phenanthrene|85‐01‐8|NA|56,000|2,100|2.8E+6|1.6E+5|1.6E+5|1.6E+5|6.7E+6|1.6E+6||ND|ND|ND|
|Pyrene|129‐00‐0|NA|4.8E+5|ID|1.0E+9 (D)|6.5E+8|6.5E+8|6.5E+8|6.7E+9|2.9E+7||ND|ND|ND|
||||||||||||||||
